団体コード,団体名,更新日
074080,福島県猪苗代町,
074217,福島県会津坂下町,
074225,福島県湯川村,
074233,福島県柳津町,
074446,福島県三島町,
074454,福島県金山町,
074462,福島県昭和村,
074471,福島県会津美里町,
074616,福島県西郷村,2022/1/24
074641,福島県泉崎村,
074659,福島県中島村,
074667,福島県矢吹町,
074811,福島県棚倉町,
074829,福島県矢祭町,
074837,福島県塙町,
074845,福島県鮫川村,
075019,福島県石川町,
075027,福島県玉川村,
075035,福島県平田村,
075043,福島県浅川町,
075051,福島県古殿町,
075213,福島県三春町,
075221,福島県小野町,
075418,福島県広野町,
075426,福島県楢葉町,
075434,福島県富岡町,
075442,福島県川内村,
075451,福島県大熊町,
075469,福島県双葉町,
075477,福島県浪江町,
075485,福島県葛尾村,
075612,福島県新地町,
075647,福島県飯舘村,
082015,茨城県水戸市,
082023,茨城県日立市,
082031,茨城県土浦市,
082040,茨城県古河市,
082058,茨城県石岡市,
082074,茨城県結城市,
082104,茨城県下妻市,
082112,茨城県常総市,
082121,茨城県常陸太田市,
082147,茨城県高萩市,
082155,茨城県北茨城市,
082163,茨城県笠間市,2019/10/11
082171,茨城県取手市,
082201,茨城県つくば市,
082210,茨城県ひたちなか市,2022/3/2
082244,茨城県守谷市,
082261,茨城県那珂市,
082279,茨城県筑西市,
082287,茨城県坂東市,
082309,茨城県かすみがうら市,
082317,茨城県桜川市,
082325,茨城県神栖市,
082333,茨城県行方市,
082350,茨城県つくばみらい市,
082368,茨城県小美玉市,
083020,茨城県茨城町,
083097,茨城県大洗町,
083411,茨城県東海村,
083640,茨城県大子町,
084425,茨城県美浦村,
084433,茨城県阿見町,
085421,茨城県五霞町,
085464,茨城県境町,
085642,茨城県利根町,
092011,栃木県宇都宮市,2022/3/10
092029,栃木県足利市,
092037,栃木県栃木市,
092045,栃木県佐野市,
092053,栃木県鹿沼市,2021/6/1
092061,栃木県日光市,
092088,栃木県小山市,
092096,栃木県真岡市,
092100,栃木県大田原市,
092134,栃木県那須塩原市,
092142,栃木県さくら市,
092151,栃木県那須烏山市,
092169,栃木県下野市,
093017,栃木県上三川町,
093432,栃木県茂木町,
093611,栃木県壬生町,
093645,栃木県野木町,
093866,栃木県高根沢町,
094072,栃木県那須町,
094111,栃木県那珂川町,
102016,群馬県前橋市,2021/12/27
102024,群馬県高崎市,
102032,群馬県桐生市,
102041,群馬県伊勢崎市,
102059,群馬県太田市,
102083,群馬県渋川市,2021/10/5
102091,群馬県藤岡市,
102105,群馬県富岡市,
102113,群馬県安中市,2021/9/10
102121,群馬県みどり市,
103446,群馬県榛東村,
103829,群馬県下仁田町,
103837,群馬県南牧村,
103845,群馬県甘楽町,
104213,群馬県中之条町,
104256,群馬県嬬恋村,
104264,群馬県草津町,
104281,群馬県高山村,
104434,群馬県片品村,
104647,群馬県玉村町,
105210,群馬県板倉町,
105236,群馬県千代田町,
111007,埼玉県さいたま市,
112011,埼玉県川越市,
112020,埼玉県熊谷市,
112038,埼玉県川口市,2020/2/18
112062,埼玉県行田市,
112071,埼玉県秩父市,
112089,埼玉県所沢市,
112097,埼玉県飯能市,
112101,埼玉県加須市,
112119,埼玉県本庄市,
112127,埼玉県東松山市,
112143,埼玉県春日部市,
112151,埼玉県狭山市,
112160,埼玉県羽生市,
112178,埼玉県鴻巣市,
112186,埼玉県深谷市,
112194,埼玉県上尾市,
112216,埼玉県草加市,
112224,埼玉県越谷市,
112232,埼玉県蕨市,2020/1/17
112241,埼玉県戸田市,
112259,埼玉県入間市,
112275,埼玉県朝霞市,
112283,埼玉県志木市,
112291,埼玉県和光市,
112305,埼玉県新座市,
112313,埼玉県桶川市,
112321,埼玉県久喜市,
112330,埼玉県北本市,
112348,埼玉県八潮市,
112356,埼玉県富士見市,
112372,埼玉県三郷市,
112381,埼玉県蓮田市,
112399,埼玉県坂戸市,
112402,埼玉県幸手市,
112411,埼玉県鶴ヶ島市,
112429,埼玉県日高市,
112437,埼玉県吉川市,
112453,埼玉県ふじみ野市,2019/3/11
112461,埼玉県白岡市,
113018,埼玉県伊奈町,
113247,埼玉県三芳町,
113263,埼玉県毛呂山町,
113271,埼玉県越生町,
113417,埼玉県滑川町,
113425,埼玉県嵐山町,
113433,埼玉県小川町,
113468,埼玉県川島町,
113476,埼玉県吉見町,
113484,埼玉県鳩山町,
113492,埼玉県ときがわ町,
113611,埼玉県横瀬町,
113620,埼玉県皆野町,
113638,埼玉県長瀞町,
113654,埼玉県小鹿野町,
113697,埼玉県東秩父村,
113816,埼玉県美里町,
113832,埼玉県神川町,
113859,埼玉県上里町,
114081,埼玉県寄居町,
114421,埼玉県宮代町,
114642,埼玉県杉戸町,
114651,埼玉県松伏町,
121002,千葉県千葉市,
122025,千葉県銚子市,
122033,千葉県市川市,
122041,千葉県船橋市,
122050,千葉県館山市,
122068,千葉県木更津市,
122076,千葉県松戸市,
122084,千葉県野田市,
122106,千葉県茂原市,
122114,千葉県成田市,2021/6/29
122122,千葉県佐倉市,
122131,千葉県東金市,
122157,千葉県旭市,2022/3/14
122165,千葉県習志野市,
122173,千葉県柏市,2021/10/28
122181,千葉県勝浦市,
122190,千葉県市原市,
122203,千葉県流山市,
122211,千葉県八千代市,
122220,千葉県我孫子市,
122238,千葉県鴨川市,
122254,千葉県君津市,2021/6/29
122262,千葉県富津市,
122271,千葉県浦安市,
122289,千葉県四街道市,
122297,千葉県袖ケ浦市,
122301,千葉県八街市,
122319,千葉県印西市,
122327,千葉県白井市,
122335,千葉県富里市,
122343,千葉県南房総市,
122351,千葉県匝瑳市,
122360,千葉県香取市,
122394,千葉県大網白里市,
123226,千葉県酒々井町,
123293,千葉県栄町,
123421,千葉県神崎町,
123471,千葉県多古町,
124036,千葉県九十九里町,
124095,千葉県芝山町,
124214,千葉県一宮町,
124222,千葉県睦沢町,
124231,千葉県長生村,
124249,千葉県白子町,
124265,千葉県長柄町,
124419,千葉県大多喜町,
124435,千葉県御宿町,
131016,東京都千代田区,
131024,東京都中央区,
131032,東京都港区,2020/6/9
131041,東京都新宿区,
131059,東京都文京区,
131067,東京都台東区,
131075,東京都墨田区,
131083,東京都江東区,
131091,東京都品川区,
131105,東京都目黒区,2021/8/20
131113,東京都大田区,
131121,東京都世田谷区,
131130,東京都渋谷区,
131148,東京都中野区,
131156,東京都杉並区,2020/6/10
131164,東京都豊島区,2022/2/2
131172,東京都北区,2020/12/3
131181,東京都荒川区,
131199,東京都板橋区,2022/2/16
131202,東京都練馬区,
131211,東京都足立区,
131229,東京都葛飾区,
131237,東京都江戸川区,
132012,東京都八王子市,
132021,東京都立川市,
132039,東京都武蔵野市,
132047,東京都三鷹市,
132055,東京都青梅市,2020/1/21
132063,東京都府中市,
132071,東京都昭島市,
132080,東京都調布市,
132098,東京都町田市,
132101,東京都小金井市,
132110,東京都小平市,
132128,東京都日野市,
132136,東京都東村山市,
132144,東京都国分寺市,
132187,東京都福生市,
132195,東京都狛江市,
132209,東京都東大和市,
132217,東京都清瀬市,2021/3/17
132225,東京都東久留米市,
132233,東京都武蔵村山市,
132241,東京都多摩市,
132250,東京都稲城市,
132276,東京都羽村市,
132284,東京都あきる野市,
132292,東京都西東京市,
134015,東京都八丈町,
141003,神奈川県横浜市,2020/2/18
141305,神奈川県川崎市,
141500,神奈川県相模原市,
142018,神奈川県横須賀市,
142034,神奈川県平塚市,
142042,神奈川県鎌倉市,
142051,神奈川県藤沢市,
142069,神奈川県小田原市,
142077,神奈川県茅ヶ崎市,
142085,神奈川県逗子市,
142107,神奈川県三浦市,
142115,神奈川県秦野市,
142123,神奈川県厚木市,
142131,神奈川県大和市,
142140,神奈川県伊勢原市,2020/1/16
142158,神奈川県海老名市,2020/1/16
142166,神奈川県座間市,
142174,神奈川県南足柄市,
142182,神奈川県綾瀬市,
143014,神奈川県葉山町,
143219,神奈川県寒川町,
143413,神奈川県大磯町,2023/2/13
143421,神奈川県二宮町,
143618,神奈川県中井町,
143626,神奈川県大井町,
143634,神奈川県松田町,
143642,神奈川県山北町,
143669,神奈川県開成町,
143821,神奈川県箱根町,
143839,神奈川県真鶴町,
143847,神奈川県湯河原町,
144011,神奈川県愛川町,
144029,神奈川県清川村,
151009,新潟県新潟市,
152021,新潟県長岡市,
152048,新潟県三条市,2020/2/18
152056,新潟県柏崎市,
152064,新潟県新発田市,
152081,新潟県小千谷市,
152099,新潟県加茂市,
152102,新潟県十日町市,
152111,新潟県見附市,
152129,新潟県村上市,
152137,新潟県燕市,
152161,新潟県糸魚川市,
152170,新潟県妙高市,
152188,新潟県五泉市,
152226,新潟県上越市,
152234,新潟県阿賀野市,
152251,新潟県魚沼市,
152269,新潟県南魚沼市,
153427,新潟県弥彦村,
153851,新潟県阿賀町,
154059,新潟県出雲崎町,
162019,富山県富山市,
162027,富山県高岡市,
162043,富山県魚津市,
162051,富山県氷見市,
162060,富山県滑川市,
162078,富山県黒部市,
162086,富山県砺波市,
162094,富山県小矢部市,
162108,富山県南砺市,
162116,富山県射水市,
163210,富山県舟橋村,
163228,富山県上市町,
163236,富山県立山町,
163422,富山県入善町,
163431,富山県朝日町,
172014,石川県金沢市,2023/2/27
172022,石川県七尾市,
172031,石川県小松市,
172049,石川県輪島市,
172057,石川県珠洲市,
172065,石川県加賀市,
172073,石川県羽咋市,
172090,石川県かほく市,
172103,石川県白山市,
172111,石川県能美市,
172120,石川県野々市市,
173240,石川県川北町,
173614,石川県津幡町,2021/9/6
173657,石川県内灘町,
173843,石川県志賀町,
173860,石川県宝達志水町,
174076,石川県中能登町,
174611,石川県穴水町,
174637,石川県能登町,
182010,福井県福井市,
182028,福井県敦賀市,
182044,福井県小浜市,
182052,福井県大野市,
182061,福井県勝山市,
182079,福井県鯖江市,
182087,福井県あわら市,
182095,福井県越前市,
182109,福井県坂井市,
183229,福井県永平寺町,
183822,福井県池田町,
184047,福井県南越前町,
184233,福井県越前町,
184420,福井県美浜町,
184811,福井県高浜町,
184837,福井県おおい町,
185019,福井県若狭町,
192015,山梨県甲府市,
192023,山梨県富士吉田市,
192040,山梨県都留市,
192074,山梨県韮崎市,
192091,山梨県北杜市,
192112,山梨県笛吹市,
193461,山梨県市川三郷町,
193658,山梨県身延町,
193666,山梨県南部町,
193682,山梨県富士川町,
193844,山梨県昭和町,
194247,山梨県忍野村,
194255,山梨県山中湖村,
194298,山梨県鳴沢村,
202011,長野県長野市,
202029,長野県松本市,
202037,長野県上田市,
202045,長野県岡谷市,
202053,長野県飯田市,
202061,長野県諏訪市,
202070,長野県須坂市,
202088,長野県小諸市,
202096,長野県伊那市,
202100,長野県駒ヶ根市,
202118,長野県中野市,
202126,長野県大町市,
202134,長野県飯山市,
202142,長野県茅野市,2023/3/1
202151,長野県塩尻市,
202177,長野県佐久市,
202185,長野県千曲市,
202193,長野県東御市,
202207,長野県安曇野市,
203033,長野県小海町,
203041,長野県川上村,
203050,長野県南牧村,
203068,長野県南相木村,
203076,長野県北相木村,
203092,長野県佐久穂町,
203211,長野県軽井沢町,
203238,長野県御代田町,
203246,長野県立科町,
203491,長野県青木村,
203505,長野県長和町,
203611,長野県下諏訪町,
203629,長野県富士見町,
203637,長野県原村,
203823,長野県辰野町,
203831,長野県箕輪町,
203840,長野県飯島町,
203858,長野県南箕輪村,
203866,長野県中川村,
203882,長野県宮田村,
204021,長野県松川町,
204030,長野県高森町,
204048,長野県阿南町,
204072,長野県阿智村,
204099,長野県平谷村,
204102,長野県根羽村,
204111,長野県下條村,
204129,長野県売木村,
204137,長野県天龍村,
204145,長野県泰阜村,
204153,長野県喬木村,
204161,長野県豊丘村,
204170,長野県大鹿村,
204226,長野県上松町,
204234,長野県南木曽町,
204251,長野県木祖村,
204293,長野県王滝村,
204307,長野県大桑村,
204323,長野県木曽町,
204463,長野県麻績村,
204480,長野県生坂村,
204501,長野県山形村,
204510,長野県朝日村,
204528,長野県筑北村,
204811,長野県池田町,
204820,長野県松川村,
204854,長野県白馬村,
204862,長野県小谷村,
205214,長野県坂城町,
205419,長野県小布施町,
205435,長野県高山村,
205613,長野県山ノ内町,
205621,長野県木島平村,
205630,長野県野沢温泉村,
205834,長野県信濃町,
205885,長野県小川村,
205907,長野県飯綱町,
206024,長野県栄村,
212016,岐阜県岐阜市,
212024,岐阜県大垣市,2020/1/16
212032,岐阜県高山市,2022/8/30
212041,岐阜県多治見市,
212059,岐阜県関市,
212067,岐阜県中津川市,
212075,岐阜県美濃市,
212083,岐阜県瑞浪市,
212091,岐阜県羽島市,
212105,岐阜県恵那市,
212113,岐阜県美濃加茂市,
212121,岐阜県土岐市,
212130,岐阜県各務原市,
212148,岐阜県可児市,
212156,岐阜県山県市,
212164,岐阜県瑞穂市,
212172,岐阜県飛騨市,
212181,岐阜県本巣市,
212199,岐阜県郡上市,
212202,岐阜県下呂市,
212211,岐阜県海津市,
213021,岐阜県岐南町,
213039,岐阜県笠松町,
213411,岐阜県養老町,
213616,岐阜県垂井町,
213624,岐阜県関ケ原町,
213811,岐阜県神戸町,
213829,岐阜県輪之内町,
213837,岐阜県安八町,
214019,岐阜県揖斐川町,
214035,岐阜県大野町,
214043,岐阜県池田町,
214213,岐阜県北方町,
215015,岐阜県坂祝町,
215023,岐阜県富加町,
215031,岐阜県川辺町,
215040,岐阜県七宗町,
215058,岐阜県八百津町,
215066,岐阜県白川町,
215074,岐阜県東白川村,
215210,岐阜県御嵩町,
216046,岐阜県白川村,
221007,静岡県静岡市,
221309,静岡県浜松市,
222038,静岡県沼津市,
222054,静岡県熱海市,
222062,静岡県三島市,
222071,静岡県富士宮市,
222089,静岡県伊東市,2020/12/14
222097,静岡県島田市,
222101,静岡県富士市,
222119,静岡県磐田市,
222127,静岡県焼津市,2021/11/25
222135,静岡県掛川市,
222143,静岡県藤枝市,
222151,静岡県御殿場市,
222160,静岡県袋井市,
222194,静岡県下田市,
222208,静岡県裾野市,
222216,静岡県湖西市,
222224,静岡県伊豆市,
222232,静岡県御前崎市,
222241,静岡県菊川市,
222259,静岡県伊豆の国市,
222267,静岡県牧之原市,
223018,静岡県東伊豆町,
223026,静岡県河津町,2020/2/18
223042,静岡県南伊豆町,
223051,静岡県松崎町,
223069,静岡県西伊豆町,
223255,静岡県函南町,
223417,静岡県清水町,
223425,静岡県長泉町,
223441,静岡県小山町,
224243,静岡県吉田町,
224294,静岡県川根本町,
224618,静岡県森町,
231002,愛知県名古屋市,
232017,愛知県豊橋市,2020/4/22
232025,愛知県岡崎市,
232033,愛知県一宮市,
232041,愛知県瀬戸市,
232050,愛知県半田市,
232068,愛知県春日井市,
232076,愛知県豊川市,
232092,愛知県碧南市,
232106,愛知県刈谷市,
232114,愛知県豊田市,
232122,愛知県安城市,
232131,愛知県西尾市,
232149,愛知県蒲郡市,
232157,愛知県犬山市,
232173,愛知県江南市,2020/11/26
232190,愛知県小牧市,
232203,愛知県稲沢市,
232211,愛知県新城市,2020/12/14
232220,愛知県東海市,2020/1/16
232238,愛知県大府市,
232246,愛知県知多市,
232254,愛知県知立市,
232262,愛知県尾張旭市,2020/1/16
232271,愛知県高浜市,
232289,愛知県岩倉市,
232297,愛知県豊明市,
232301,愛知県日進市,2020/2/18
232319,愛知県田原市,
232360,愛知県みよし市,
232378,愛知県あま市,
232386,愛知県長久手市,
233021,愛知県東郷町,
233421,愛知県豊山町,
233617,愛知県大口町,
234257,愛知県蟹江町,
234273,愛知県飛島村,
234419,愛知県阿久比町,
234427,愛知県東浦町,
234451,愛知県南知多町,
234460,愛知県美浜町,
235016,愛知県幸田町,
235610,愛知県設楽町,
235636,愛知県豊根村,
242012,三重県津市,
242021,三重県四日市市,2020/4/22
242039,三重県伊勢市,2020/1/31
242047,三重県松阪市,2023/1/30
242055,三重県桑名市,2020/5/22
242071,三重県鈴鹿市,
242080,三重県名張市,2021/6/29
242101,三重県亀山市,2022/2/15
242110,三重県鳥羽市,
242128,三重県熊野市,
242144,三重県いなべ市,
242152,三重県志摩市,
242161,三重県伊賀市,
243035,三重県木曽岬町,
243248,三重県東員町,
243418,三重県菰野町,
243442,三重県川越町,
244414,三重県多気町,
244422,三重県明和町,
244708,三重県度会町,
244724,三重県南伊勢町,
245437,三重県紀北町,
245615,三重県御浜町,
245623,三重県紀宝町,
252018,滋賀県大津市,
252026,滋賀県彦根市,
252034,滋賀県長浜市,
252042,滋賀県近江八幡市,
252069,滋賀県草津市,2022/3/2
252077,滋賀県守山市,2023/2/9
252093,滋賀県甲賀市,
252107,滋賀県野洲市,
252115,滋賀県湖南市,
252123,滋賀県高島市,
253839,滋賀県日野町,
253847,滋賀県竜王町,2022/3/17
254410,滋賀県豊郷町,
254436,滋賀県多賀町,
261009,京都府京都市,2022/1/12
262013,京都府福知山市,2022/1/12
262021,京都府舞鶴市,2022/1/12
262030,京都府綾部市,2022/1/12
262048,京都府宇治市,2022/1/12
262056,京都府宮津市,2022/1/12
262064,京都府亀岡市,2022/1/12
262072,京都府城陽市,2022/1/12
262081,京都府向日市,2022/1/12
262099,京都府長岡京市,2022/1/12
262102,京都府八幡市,2022/1/12
262111,京都府京田辺市,2022/1/12
262129,京都府京丹後市,2022/1/12
262137,京都府南丹市,2022/1/12
262145,京都府木津川市,2022/1/12
263036,京都府大山崎町,2022/1/12
263222,京都府久御山町,2022/1/12
263435,京都府井手町,2022/1/12
263443,京都府宇治田原町,2022/1/12
263648,京都府笠置町,2022/1/12
263656,京都府和束町,2022/1/12
263664,京都府精華町,2022/1/12
263672,京都府南山城村,2022/1/12
264075,京都府京丹波町,2022/1/12
264636,京都府伊根町,2022/1/12
264652,京都府与謝野町,2022/1/12
271004,大阪府大阪市,
271403,大阪府堺市,
272027,大阪府岸和田市,
272035,大阪府豊中市,
272043,大阪府池田市,
272051,大阪府吹田市,
272060,大阪府泉大津市,
272078,大阪府高槻市,
272086,大阪府貝塚市,
272094,大阪府守口市,2020/12/23
272108,大阪府枚方市,
272116,大阪府茨木市,
272124,大阪府八尾市,
272132,大阪府泉佐野市,
272141,大阪府富田林市,2020/11/19
272159,大阪府寝屋川市,2022/6/9
272167,大阪府河内長野市,
272175,大阪府松原市,2021/6/29
272183,大阪府大東市,
272213,大阪府柏原市,
272230,大阪府門真市,
272248,大阪府摂津市,
272272,大阪府東大阪市,
272281,大阪府泉南市,
272299,大阪府四條畷市,
272311,大阪府大阪狭山市,
272329,大阪府阪南市,2021/6/29
273015,大阪府島本町,
273627,大阪府田尻町,
273660,大阪府岬町,
281000,兵庫県神戸市,
282014,兵庫県姫路市,2022/4/1
282022,兵庫県尼崎市,
282031,兵庫県明石市,
282049,兵庫県西宮市,
282057,兵庫県洲本市,
282065,兵庫県芦屋市,
282073,兵庫県伊丹市,2021/7/14
282090,兵庫県豊岡市,2020/9/16
282103,兵庫県加古川市,
282120,兵庫県赤穂市,
282138,兵庫県西脇市,2022/3/1
282146,兵庫県宝塚市,
282154,兵庫県三木市,
282162,兵庫県高砂市,2022/3/23
282171,兵庫県川西市,
282197,兵庫県三田市,
282201,兵庫県加西市,
282219,兵庫県丹波篠山市,
282227,兵庫県養父市,
282235,兵庫県丹波市,
282243,兵庫県南あわじ市,
282278,兵庫県宍粟市,
282286,兵庫県加東市,
282294,兵庫県たつの市,
283657,兵庫県多可町,
283819,兵庫県稲美町,
284424,兵庫県市川町,
284432,兵庫県福崎町,
285854,兵庫県香美町,
292010,奈良県奈良市,
292028,奈良県大和高田市,
292036,奈良県大和郡山市,
292044,奈良県天理市,
292052,奈良県橿原市,2021/3/31
292061,奈良県桜井市,
292079,奈良県五條市,
292087,奈良県御所市,
292095,奈良県生駒市,
292109,奈良県香芝市,
292117,奈良県葛城市,
292125,奈良県宇陀市,
293229,奈良県山添村,
293431,奈良県三郷町,
293440,奈良県斑鳩町,
293458,奈良県安堵町,
293610,奈良県川西町,
293628,奈良県三宅町,
293636,奈良県田原本町,
293857,奈良県曽爾村,
293865,奈良県御杖村,
294012,奈良県高取町,
294021,奈良県明日香村,
294241,奈良県上牧町,
294250,奈良県王寺町,
294268,奈良県広陵町,
294276,奈良県河合町,
294411,奈良県吉野町,
294420,奈良県大淀町,
294438,奈良県下市町,
294446,奈良県黒滝村,
294462,奈良県天川村,
294471,奈良県野迫川村,
294497,奈良県十津川村,
294501,奈良県下北山村,
294527,奈良県川上村,
294535,奈良県東吉野村,
302015,和歌山県和歌山市,
302023,和歌山県海南市,
302031,和歌山県橋本市,
302040,和歌山県有田市,
302058,和歌山県御坊市,
302066,和歌山県田辺市,
302082,和歌山県紀の川市,
303437,和歌山県九度山町,
303666,和歌山県有田川町,
303836,和歌山県由良町,
304280,和歌山県串本町,
312011,鳥取県鳥取市,
312029,鳥取県米子市,
312045,鳥取県境港市,
